0	_
1	一
2	丁
3	丂
4	七
5	丄
6	丅
7	丆
8	万
9	丈
10	三
11	上
12	下
13	丌
14	不
15	与
16	丏
17	丐
18	丑
19	丒
20	专
21	且
22	丕
23	世
24	丗
25	丘
26	丙
27	业
28	丛
29	东
30	丝
31	丞
32	丟
33	丠
34	両
35	丢
36	丣
37	两
38	严
39	並
40	丧
41	丨
42	丩
43	个
44	丫
45	丬
46	中
47	丮
48	丯
49	丰
50	丱
51	串
52	丳
53	临
54	丵
55	丶
56	丷
57	丸
58	丹
59	为
60	主
61	丼
62	丽
63	举
64	丿
65	乀
66	乁
67	乂
68	乃
69	乄
70	久
71	乆
72	乇
73	么
74	义
75	乊
76	之
77	乌
78	乍
79	乎
80	乏
81	乐
82	乑
83	乒
84	乓
85	乔
86	乕
87	乖
88	乗
89	乘
90	乙
91	乚
92	乛
93	乜
94	九
95	乞
96	也
97	习
98	乡
99	乢
100	乣
101	乤
102	乥
103	书
104	乧
105	乨
106	乩
107	乪
108	乫
109	乬
110	乭
111	乮
112	乯
113	买
114	乱
115	乲
116	乳
117	乴
118	乵
119	乶
120	乷
121	乸
122	乹
123	乺
124	乻
125	乼
126	乽
127	乾
128	乿
129	亀
130	亁
131	亂
132	亃
133	亄
134	亅
135	了
136	亇
137	予
138	争
139	亊
140	事
141	二
142	亍
143	于
144	亏
145	亐
146	云
147	互
148	亓
149	五
150	井
151	亖
152	亗
153	亘
154	亙
155	亚
156	些
157	亜
158	亝
159	亞
160	亟
161	亠
162	亡
163	亢
164	亣
165	交
166	亥
167	亦
168	产
169	亨
170	亩
171	亪
172	享
173	京
174	亭
175	亮
176	亯
177	亰
178	亱
179	亲
180	亳
181	亴
182	亵
183	亶
184	亷
185	亸
186	亹
187	人
188	亻
189	亼
190	亽
191	亾
192	亿
193	什
194	仁
195	仂
196	仃
197	仄
198	仅
199	仆
200	仇
201	仈
202	仉
203	今
204	介
205	仌
206	仍
207	从
208	仏
209	仐
210	仑
211	仒
212	仓
213	仔
214	仕
215	他
216	仗
217	付
218	仙
219	仚
220	仛
221	仜
222	仝
223	仞
224	仟
225	仠
226	仡
227	仢
228	代
229	令
230	以
231	仦
232	仧
233	仨
234	仩
235	仪
236	仫
237	们
238	仭
239	仮
240	仯
241	仰
242	仱
243	仲
244	仳
245	仴
246	仵
247	件
248	价
249	仸
250	仹
251	仺
252	任
253	仼
254	份
255	仾
256	仿
257	伀
258	企
259	伂
260	伃
261	伄
262	伅
263	伆
264	伇
265	伈
266	伉
267	伊
268	伋
269	伌
270	伍
271	伎
272	伏
273	伐
274	休
275	伒
276	伓
277	伔
278	伕
279	伖
280	众
281	优
282	伙
283	会
284	伛
285	伜
286	伝
287	伞
288	伟
289	传
290	伡
291	伢
292	伣
293	伤
294	伥
295	伦
296	伧
297	伨
298	伩
299	伪
300	伫
301	伬
302	伭
303	伮
304	伯
305	估
306	伱
307	伲
308	伳
309	伴
310	伵
311	伶
312	伷
313	伸
314	伹
315	伺
316	伻
317	似
318	伽
319	伾
320	伿
321	佀
322	佁
323	佂
324	佃
325	佄
326	佅
327	但
328	佇
329	佈
330	佉
331	佊
332	佋
333	佌
334	位
335	低
336	住
337	佐
338	佑
339	佒
340	体
341	佔
342	何
343	佖
344	佗
345	佘
346	余
347	佚
348	佛
349	作
350	佝
351	佞
352	佟
353	你
354	佡
355	佢
356	佣
357	佤
358	佥
359	佦
360	佧
361	佨
362	佩
363	佪
364	佫
365	佬
366	佭
367	佮
368	佯
369	佰
370	佱
371	佲
372	佳
373	佴
374	併
375	佶
376	佷
377	佸
378	佹
379	佺
380	佻
381	佼
382	佽
383	佾
384	使
385	侀
386	侁
387	侂
388	侃
389	侄
390	侅
391	來
392	侇
393	侈
394	侉
395	侊
396	例
397	侌
398	侍
399	侎
400	侏
401	侐
402	侑
403	侒
404	侓
405	侔
406	侕
407	侖
408	侗
409	侘
410	侙
411	侚
412	供
413	侜
414	依
415	侞
416	侟
417	侠
418	価
419	侢
420	侣
421	侤
422	侥
423	侦
424	侧
425	侨
426	侩
427	侪
428	侫
429	侬
430	侭
431	侮
432	侯
433	侰
434	侱
435	侲
436	侳
437	侴
438	侵
439	侶
440	侷
441	侸
442	侹
443	侺
444	侻
445	侼
446	侽
447	侾
448	便
449	俀
450	俁
451	係
452	促
453	俄
454	俅
455	俆
456	俇
457	俈
458	俉
459	俊
460	俋
461	俌
462	俍
463	俎
464	俏
465	俐
466	俑
467	俒
468	俓
469	俔
470	俕
471	俖
472	俗
473	俘
474	俙
475	俚
476	俛
477	俜
478	保
479	俞
480	俟
481	俠
482	信
483	俢
484	俣
485	俤
486	俥
487	俦
488	俧
489	俨
490	俩
491	俪
492	俫
493	俬
494	俭
495	修
496	俯
497	俰
498	俱
499	俲
500	俳
501	俴
502	俵
503	俶
504	俷
505	俸
506	俹
507	俺
508	俻
509	俼
510	俽
511	俾
512	俿
513	倀
514	倁
515	倂
516	倃
517	倄
518	倅
519	倆
520	倇
521	倈
522	倉
523	倊
524	個
525	倌
526	倍
527	倎
528	倏
529	倐
530	們
531	倒
532	倓
533	倔
534	倕
535	倖
536	倗
537	倘
538	候
539	倚
540	倛
541	倜
542	倝
543	倞
544	借
545	倠
546	倡
547	倢
548	倣
549	値
550	倥
551	倦
552	倧
553	倨
554	倩
555	倪
556	倫
557	倬
558	倭
559	倮
560	倯
561	倰
562	倱
563	倲
564	倳
565	倴
566	倵
567	倶
568	倷
569	倸
570	倹
571	债
572	倻
573	值
574	倽
575	倾
576	倿
577	偀
578	偁
579	偂
580	偃
581	偄
582	偅
583	偆
584	假
585	偈
586	偉
587	偊
588	偋
589	偌
590	偍
591	偎
592	偏
593	偐
594	偑
595	偒
596	偓
597	偔
598	偕
599	偖
600	偗
601	偘
602	偙
603	做
604	偛
605	停
606	偝
607	偞
608	偟
609	偠
610	偡
611	偢
612	偣
613	偤
614	健
615	偦
616	偧
617	偨
618	偩
619	偪
620	偫
621	偬
622	偭
623	偮
624	偯
625	偰
626	偱
627	偲
628	偳
629	側
630	偵
631	偶
632	偷
633	偸
634	偹
635	偺
636	偻
637	偼
638	偽
639	偾
640	偿
641	傀
642	傁
643	傂
644	傃
645	傄
646	傅
647	傆
648	傇
649	傈
650	傉
651	傊
652	傋
653	傌
654	傍
655	傎
656	傏
657	傐
658	傑
659	傒
660	傓
661	傔
662	傕
663	傖
664	傗
665	傘
666	備
667	傚
668	傛
669	傜
670	傝
671	傞
672	傟
673	傠
674	傡
675	傢
676	傣
677	傤
678	傥
679	傦
680	傧
681	储
682	傩
683	傪
684	傫
685	催
686	傭
687	傮
688	傯
689	傰
690	傱
691	傲
692	傳
693	傴
694	債
695	傶
696	傷
697	傸
698	傹
699	傺
700	傻
701	傼
702	傽
703	傾
704	傿
705	僀
706	僁
707	僂
708	僃
709	僄
710	僅
711	僆
712	僇
713	僈
714	僉
715	僊
716	僋
717	僌
718	働
719	僎
720	像
721	僐
722	僑
723	僒
724	僓
725	僔
726	僕
727	僖
728	僗
729	僘
730	僙
731	僚
732	僛
733	僜
734	僝
735	僞
736	僟
737	僠
738	僡
739	僢
